InvoiceMonth,StockCode,Description,Quantity,TotalPrice
2010-12-01,10002,INFLATABLE POLITICAL GLOBE ,251,234.41
2010-12-01,10120,DOGGY RUBBER,16,3.36
2010-12-01,10125,MINI FUNKY DESIGN TAPES,154,90.86
2010-12-01,10133,COLOURING PENCILS BROWN TUBE,130,85.27
2010-12-01,10135,COLOURING PENCILS BROWN TUBE,411,279.02
2010-12-01,11001,ASSTD DESIGN RACING CAR PEN,74,138.42
2010-12-01,15034,PAPER POCKET TRAVELING FAN ,45,11.27
2010-12-01,15036,ASSORTED COLOURS SILK FAN,161,136.12
2010-12-01,15039,SANDALWOOD FAN,20,19.43
2010-12-01,16008,SMALL FOLDING SCISSOR(POINTED EDGE),14,3.5
2010-12-01,16010,FOLDING CAMPING SCISSOR W/KNIF & S,12,1.44
2010-12-01,16011,ANIMAL STICKERS,94,19.740000000000002
2010-12-01,16012,FOOD/DRINK SPONGE STICKERS,120,25.2
2010-12-01,16014,SMALL CHINESE STYLE SCISSOR,1029,332.18
2010-12-01,16015,MEDIUM CHINESE STYLE SCISSOR,21,10.5
2010-12-01,16016,LARGE CHINESE STYLE SCISSOR,28,23.8
2010-12-01,16033,MINI HIGHLIGHTER PENS,240,28.799999999999997
2010-12-01,16045,POPART WOODEN PENCILS ASST,100,12.0
2010-12-01,16046,TEATIME PEN CASE & PENS,10,8.5
2010-12-01,16048,TEATIME ROUND PENCIL SHARPENER ,27,12.629999999999999
2010-12-01,16052,TEATIME PUSH DOWN RUBBER,2,1.68
2010-12-01,16054,POPART RECT PENCIL SHARPENER ASST,2,0.84
2010-12-01,16216,LETTER SHAPE PENCIL SHARPENER,20,3.2
2010-12-01,16218,CARTOON  PENCIL SHARPENERS,8,7.1899999999999995
2010-12-01,16219,HOUSE SHAPE PENCIL SHARPENER,13,4.22
2010-12-01,16225,RATTLE SNAKE EGGS,272,156.88
2010-12-01,16235,RECYCLED PENCIL WITH RABBIT ERASER,154,39.6
2010-12-01,16236,KITTY PENCIL ERASERS,58,15.92
2010-12-01,16237,SLEEPING CAT ERASERS,615,122.37
2010-12-01,16238,PARTY TIME PENCIL ERASERS,86,24.44
2010-12-01,17003,BROCADE RING PURSE ,1151,212.75
2010-12-01,17021,NAMASTE SWAGAT INCENSE,686,169.8
2010-12-01,17038,PORCELAIN BUDAH INCENSE HOLDER,102,8.700000000000001
2010-12-01,17096,ASSORTED LAQUERED INCENSE HOLDERS,1731,295.05000000000007
