StockCode,Description,Quantity,TotalPrice,cumQty,cumPct
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,80995,0.014390325976994666
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92000000001,159028,0.02825439544995997
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,55047,13841.849999999999,214075,0.038034558102662305
85099B,JUMBO BAG RED RETROSPOT,48478,94340.05,262553,0.04664761104065536
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37603,104340.29000000001,300156,0.053328510203726295
22197,POPCORN HOLDER,36761,34298.87,336917,0.05985981180555728
84879,ASSORTED COLOUR BIRD ORNAMENT,36461,59094.93,373378,0.06633781261359732
21212,PACK OF 72 RETROSPOT CAKE CASES,36419,21259.100000000002,409797,0.07280835131050661
23084,RABBIT NIGHT LIGHT,30788,66964.99,440585,0.07827843410795969
22492,MINI PAINT SET VINTAGE ,26633,16937.82,467218,0.08301030091140804
22616,PACK OF 12 LONDON TISSUES ,26339,7980.92,493557,0.08768993293694126
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24854,12245.02,518411,0.09210572603320924
22178,VICTORIAN GLASS HANGING T-LIGHT,24304,33187.97,542715,0.09642380100752714
15036,ASSORTED COLOURS SILK FAN,23826,18569.84,566541,0.10065695005040479
17003,BROCADE RING PURSE ,23056,6036.39,589597,0.10475329372255231
21915,RED  HARMONICA IN BOX ,21933,26331.58,611530,0.10865011475660903
22386,JUMBO BAG PINK POLKADOT,21465,42436.24,632995,0.11246378655235187
22197,SMALL POPCORN HOLDER,20160,17055.149999999998,653155,0.11604559989510403
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,19355,64952.29,672510,0.11948438944118382
20725,LUNCH BAG RED RETROSPOT,19353,35752.01,691863,0.12292282364863832
47566,PARTY BUNTING,18299,99504.33,710162,0.12617399440057395
84991,60 TEATIME FAIRY CAKE CASES,18214,9183.720000000001,728376,0.12941006326093546
22355,CHARLOTTE BAG SUKI DESIGN,18152,29277.95,746528,0.1326351166239135
22469,HEART OF WICKER SMALL,17971,32107.8,764499,0.13582801184130436
20724,RED RETROSPOT CHARLOTTE BAG,17771,21776.79,782270,0.13898537319616788
85099F,JUMBO BAG STRAWBERRY,17276,32570.47,799546,0.14205478824127635
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16449,10518.25,815995,0.1449772707648344
22961,JAM MAKING SET PRINTED,16412,25660.98,832407,0.1478931795238249
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,16244,17927.45,848651,0.1507792398382925
22952,60 CAKE CASES VINTAGE CHRISTMAS,16055,9511.52,864706,0.15363172065267178
21213,PACK OF 72 SKULL CAKE CASES,15176,8418.44,879882,0.15632803014124355
22151,PLACE SETTING WHITE HEART,15150,6332.29,895032,0.1590197202276868
23199,JUMBO BAG APPLES,14920,30475.65,909952,0.1616705463722236
84946,ANTIQUE SILVER T-LIGHT GLASS,14688,19411.62,924640,0.16428015323622877
21790,VINTAGE SNAP CARDS,14528,12515.96,939168,0.16686133301021208
22629,SPACEBOY LUNCH BOX ,14260,25740.469999999998,953428,0.1693948974084088
21731,RED TOADSTOOL LED NIGHT LIGHT,14009,23932.98,967437,0.17188386680913376
85099C,JUMBO  BAG BAROQUE BLACK WHITE,13922,28092.2,981359,0.17435737897965936
22423,REGENCY CAKESTAND 3 TIER,13890,174484.74,995249,0.17682520573218058
84568,GIRLS ALPHABET IRON ON PATCHES ,13882,2923.13,1009131,0.1792916111302007
84826,ASSTD DESIGN 3D PAPER STICKERS,13705,391.93,1022836,0.18172656905988416
