StockCode,avgPrice,totalQty,totalSales,mainCountry,Description,firstPurchase,lastPurchase,frequency,uniqueCustomers,Recency,Monetary
10002,0.85,823,699.55,United Kingdom,INFLATABLE POLITICAL GLOBE ,2010-12-01 08:45:00,2011-04-18 12:56:00,49,40,234,699.55
10080,0.41,291,114.41,United Kingdom,GROOVY CACTUS INFLATABLE,2011-02-27 13:47:00,2011-11-21 17:04:00,21,19,17,114.41
10120,0.21,193,40.53,United Kingdom,DOGGY RUBBER,2010-12-03 11:19:00,2011-12-04 13:15:00,30,25,4,40.53
10125,0.78,1226,930.3,United Kingdom,MINI FUNKY DESIGN TAPES,2010-12-01 12:23:00,2011-12-09 10:13:00,64,49,0,930.3
10133,0.53,2384,1143.61,United Kingdom,COLOURING PENCILS BROWN TUBE,2010-12-01 12:15:00,2011-09-07 10:07:00,124,101,93,1143.61
10135,1.2,1938,1786.69,United Kingdom,COLOURING PENCILS BROWN TUBE,2010-12-02 10:35:00,2011-12-07 13:35:00,121,92,1,1786.69
11001,1.85,1252,1953.0,United Kingdom,ASSTD DESIGN RACING CAR PEN,2010-12-05 11:10:00,2011-12-05 17:17:00,64,44,3,1953.0
15030,0.29,143,41.47,United Kingdom,FAN BLACK FRAME ,2011-03-24 13:37:00,2011-12-06 12:21:00,13,11,3,41.47
15034,0.14,6419,697.06,United Kingdom,PAPER POCKET TRAVELING FAN ,2010-12-05 13:55:00,2011-11-28 13:56:00,91,70,10,697.06
15036,0.81,21876,16044.44,United Kingdom,ASSORTED COLOURS SILK FAN,2010-12-02 15:03:00,2011-12-02 17:06:00,325,194,6,16044.44
15039,0.84,1559,1133.15,United Kingdom,SANDALWOOD FAN,2010-12-05 12:43:00,2011-12-08 13:50:00,71,58,0,1133.15
16008,0.14,2892,360.71,United Kingdom,SMALL FOLDING SCISSOR(POINTED EDGE),2010-12-09 14:10:00,2011-12-09 08:48:00,70,54,0,360.71
16010,0.12,30,3.6,United Kingdom,FOLDING CAMPING SCISSOR W/KNIF & S,2010-12-05 16:41:00,2011-03-28 14:27:00,3,3,255,3.6
